fastq_ftp	sra_ftp	experiment_accession	scientific_name	experiment_title	run_accession	secondary_study_accession	study_accession	submitted_format	study_title	sample_accession	fastq_aspera	sample_title	tax_id	submitted_ftp
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/051/SRR11452251/SRR11452251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/051/SRR11452251/SRR11452251_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/051/SRR11452251	SRX8029987	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata eggs ambient pH treatment	SRR11452251	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486764	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/051/SRR11452251/SRR11452251_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/051/SRR11452251/SRR11452251_2.fastq.gz	121_egg_ambient	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/052/SRR11452252/SRR11452252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/052/SRR11452252/SRR11452252_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/052/SRR11452252	SRX8029986	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata prawn chip ambient pH treatment	SRR11452252	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486781	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/052/SRR11452252/SRR11452252_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/052/SRR11452252/SRR11452252_2.fastq.gz	162_prawn_chip_ambient	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/053/SRR11452253/SRR11452253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/053/SRR11452253/SRR11452253_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/053/SRR11452253	SRX8029985	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata cleavage low pH treatment	SRR11452253	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486780	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/053/SRR11452253/SRR11452253_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/053/SRR11452253/SRR11452253_2.fastq.gz	160_cleavage_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/054/SRR11452254/SRR11452254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/054/SRR11452254/SRR11452254_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/054/SRR11452254	SRX8029984	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata cleavage ambient pH treatment	SRR11452254	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486779	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/054/SRR11452254/SRR11452254_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/054/SRR11452254/SRR11452254_2.fastq.gz	159_cleavage_ambient	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/055/SRR11452255/SRR11452255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/055/SRR11452255/SRR11452255_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/055/SRR11452255	SRX8029983	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata cleavage low pH treatment	SRR11452255	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486778	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/055/SRR11452255/SRR11452255_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/055/SRR11452255/SRR11452255_2.fastq.gz	158_cleavage_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/056/SRR11452256/SRR11452256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/056/SRR11452256/SRR11452256_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/056/SRR11452256	SRX8029982	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata cleavage extra low pH treatment	SRR11452256	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486777	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/056/SRR11452256/SRR11452256_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/056/SRR11452256/SRR11452256_2.fastq.gz	157_cleavage_extra_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/057/SRR11452257/SRR11452257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/057/SRR11452257/SRR11452257_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/057/SRR11452257	SRX8029981	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata cleavage extra low pH treatment	SRR11452257	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486776	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/057/SRR11452257/SRR11452257_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/057/SRR11452257/SRR11452257_2.fastq.gz	156_cleavage_extra_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/058/SRR11452258/SRR11452258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/058/SRR11452258/SRR11452258_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/058/SRR11452258	SRX8029980	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata cleavage low pH treatment	SRR11452258	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486775	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/058/SRR11452258/SRR11452258_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/058/SRR11452258/SRR11452258_2.fastq.gz	155_cleavage_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/059/SRR11452259/SRR11452259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/059/SRR11452259/SRR11452259_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/059/SRR11452259	SRX8029979	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata cleavage ambient pH treatment	SRR11452259	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486774	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/059/SRR11452259/SRR11452259_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/059/SRR11452259/SRR11452259_2.fastq.gz	154_cleavage_ambient	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/060/SRR11452260/SRR11452260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/060/SRR11452260/SRR11452260_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/060/SRR11452260	SRX8029978	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata cleavage ambient pH treatment	SRR11452260	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486773	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/060/SRR11452260/SRR11452260_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/060/SRR11452260/SRR11452260_2.fastq.gz	153_cleavage_ambient	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/061/SRR11452261/SRR11452261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/061/SRR11452261/SRR11452261_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/061/SRR11452261	SRX8029977	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata fertilized embryos extra low pH treatment	SRR11452261	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486772	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/061/SRR11452261/SRR11452261_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/061/SRR11452261/SRR11452261_2.fastq.gz	134_fert_embryo_extra_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/062/SRR11452262/SRR11452262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/062/SRR11452262/SRR11452262_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/062/SRR11452262	SRX8029976	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata eggs ambient pH treatment	SRR11452262	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486763	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/062/SRR11452262/SRR11452262_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/062/SRR11452262/SRR11452262_2.fastq.gz	120_egg_ambient	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/063/SRR11452263/SRR11452263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/063/SRR11452263/SRR11452263_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/063/SRR11452263	SRX8029975	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata eggs ambient pH treatment	SRR11452263	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486762	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/063/SRR11452263/SRR11452263_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/063/SRR11452263/SRR11452263_2.fastq.gz	119_egg_ambient	46704	
