# submitted_item	validated_id	current_symbol
FBgn0036613	FBgn0053257	CG33257
FBgn0036613	FBgn0285951	mRpS34
FBgn0036642	FBgn0250814	UQCR-C2
FBgn0036643	FBgn0036643	Syx8
FBgn0036644	FBgn0002283	l(3)73Ah
FBgn0036646	FBgn0036646	CR18217
FBgn0036660	FBgn0287696	mus302
FBgn0036720	FBgn0052174	Coq4
FBgn0036721	FBgn0042641	frc
FBgn0036745	FBgn0036745	CG7484
FBgn0036779	FBgn0020300	geko
FBgn0036787	FBgn0036787	CG4306
FBgn0036791	FBgn0036791	CG7271
FBgn0036810	FBgn0036810	CG6885
FBgn0036811	FBgn0036811	MED11
FBgn0036840	FBgn0002945	nkd
FBgn0036853	FBgn0036853	mRpL21
FBgn0036855	FBgn0260857	Bet1
FBgn0036918	FBgn0036918	Pfdn6
FBgn0036922	FBgn0036922	CG14182
FBgn0036958	FBgn0036958	CG17233
FBgn0036983	FBgn0028978	trbl
FBgn0036989	FBgn0029158	Las
FBgn0036994	FBgn0036994	CG5199
FBgn0037000	FBgn0037000	ZnT77C
FBgn0037011	FBgn0037011	CG4858
FBgn0037017	FBgn0037017	CG4074
FBgn0037025	FBgn0037025	Spc105R
FBgn0037061	FBgn0037061	Trmt112
FBgn0037085	FBgn0037085	Neu2
FBgn0037110	FBgn0037110	ORMDL
FBgn0037149	FBgn0037149	CG14561
FBgn0037160	FBgn0004449	Ten-m
FBgn0037309	FBgn0264785	Hph
FBgn0037363	FBgn0037363	Atg17
FBgn0037480	FBgn0011020	Sas-4
FBgn0037548	FBgn0037548	CG7900
FBgn0037583	FBgn0037583	CG9684
FBgn0037669	FBgn0037669	Ibf2
FBgn0037674	FBgn0285911	Vps16A
FBgn0037694	FBgn0261552	ps
FBgn0037729	FBgn0028997	nmdyn-D7
FBgn0037741	FBgn0037741	Tti1
FBgn0037797	FBgn0037797	CG12420
FBgn0037802	FBgn0037802	Sirt6
FBgn0037816	FBgn0037816	CG6345
FBgn0037819	FBgn0037819	Phyhd1
FBgn0037890	FBgn0037890	CG17734
FBgn0037893	FBgn0264694	mgr
FBgn0037898	FBgn0037898	Dtd
FBgn0037922	FBgn0037922	CG14711
FBgn0037947	FBgn0265276	l(3)neo38
FBgn0037973	FBgn0037973	CG18547
FBgn0038015	FBgn0038016	MBD-R2
FBgn0038028	FBgn0038028	CG10035
FBgn0038053	FBgn0038053	CG18549
FBgn0038059	FBgn0013279	Hsp70Bc
FBgn0038134	FBgn0038134	wntD
FBgn0038150	FBgn0038150	yellow-e3
FBgn0038166	FBgn0038166	CG9588
FBgn0038192	FBgn0264493	rdx
FBgn0038243	FBgn0038243	CG8066
FBgn0038243	FBgn0038243	CG8066
FBgn0038255	FBgn0262127	kibra
FBgn0038263	FBgn0266756	btsz
FBgn0038302	FBgn0038302	CG4210
FBgn0038314	FBgn0011476	l(3)neo43
FBgn0038352	FBgn0053207	pxb
FBgn0038363	FBgn0038363	Acyp2
FBgn0038369	FBgn0038369	Arpc3A
FBgn0038406	FBgn0024491	Bin1
FBgn0038430	FBgn0044826	Pak3
FBgn0038566	FBgn0038566	CG14317
FBgn0038582	FBgn0038582	CG7988
FBgn0038609	FBgn0038609	Nup43
FBgn0038619	FBgn0038619	CG7685
FBgn0038813	FBgn0023097	bon
FBgn0038875	FBgn0043012	AP-2sigma
FBgn0038908	FBgn0260940	lsn
FBgn0038933	FBgn0051163	SKIP
FBgn0039000	FBgn0266418	wake
FBgn0039065	FBgn0039065	Rad60
FBgn0039067	FBgn0039067	wda
FBgn0039068	FBgn0039068	Pex11c
FBgn0039111	FBgn0039111	PTPMT1
FBgn0039138	FBgn0051184	LSm3
FBgn0039138	FBgn0053108	CG33108
FBgn0039139	FBgn0039139	Mettl3
FBgn0039145	FBgn0039145	CG6000
FBgn0039149	FBgn0039149	CG18428
FBgn0039204	FBgn0039204	CG6607
FBgn0039205	FBgn0039205	CG13623
FBgn0039216	FBgn0051126	CG31126
FBgn0039218	FBgn0039218	Polr2L
FBgn0039258	FBgn0039258	beta4GalT7
FBgn0039271	FBgn0039271	CG11839
FBgn0039273	FBgn0039273	shams
FBgn0039283	FBgn0039283	danr
FBgn0039288	FBgn0039288	CG13653
FBgn0039306	FBgn0039306	RIOK2
FBgn0039337	FBgn0039337	MED28
FBgn0039357	FBgn0039357	CG4743
FBgn0039404	FBgn0039404	CG14543
FBgn0039461	FBgn0039461	CG5500
FBgn0039559	FBgn0039559	NSD
FBgn0039565	FBgn0039565	CG4884
FBgn0039642	FBgn0039642	CG11882
FBgn0039692	FBgn0260990	yata
FBgn0039732	FBgn0039732	CG15525
FBgn0040534	FBgn0040534	Sf3b5
FBgn0040575	FBgn0040575	CG15922
FBgn0040602	FBgn0040602	CG14545
FBgn0040701	FBgn0040701	CG13714
FBgn0040702	FBgn0042199	CG13713
FBgn0040808	FBgn0040487	BobA
FBgn0040813	FBgn0287423	Nplp2
FBgn0010222	FBgn0010222	Nmdmc
FBgn0028399	FBgn0028399	Serinc
FBgn0037637	FBgn0037637	IscU
FBgn0036732	FBgn0036732	Oatp74D
FBgn0039537	FBgn0039537	Hsdl2
FBgn0035714	FBgn0035714	Sbds
FBgn0027615	FBgn0027615	OXA1L
FBgn0027598	FBgn0027598	cindr
FBgn0027594	FBgn0027594	drpr
FBgn0039348	FBgn0039348	Npl4
FBgn0028500	FBgn0028500	Rich
FBgn0037747	FBgn0037747	Naa80
FBgn0038332	FBgn0038332	CG6136
FBgn0039790	FBgn0039790	CG2246
FBgn0035889	FBgn0035889	mkg-p
FBgn0004913	FBgn0004913	Gnf1
FBgn0036545	FBgn0036545	GXIVsPLA2
FBgn0038877	FBgn0038877	CG3308
FBgn0027565	FBgn0027565	CG5498
FBgn0038475	FBgn0038475	Keap1
FBgn0015622	FBgn0015622	Cnx99A
FBgn0003308	FBgn0003308	ry
FBgn0038108	FBgn0038108	CG7518
FBgn0028487	FBgn0028487	f-cup
FBgn0038301	FBgn0038301	CG6654
FBgn0037216	FBgn0037215	beta-Man
FBgn0026208	FBgn0262732	mbf1
FBgn0037049	FBgn0026179	siz
FBgn0036512	FBgn0036512	CG16979
FBgn0037136	FBgn0046301	CG7148
FBgn0039114	FBgn0039114	Lsd-1
FBgn0028484	FBgn0028484	Ack
FBgn0010452	FBgn0010452	trn
FBgn0039714	FBgn0039714	Zip99C
FBgn0015828	FBgn0015828	TfIIEalpha
FBgn0000116	FBgn0000116	Argk
FBgn0037439	FBgn0037439	CG10286
FBgn0028684	FBgn0028684	Rpt5
FBgn0022787	FBgn0022787	Hel89B
FBgn0036253	FBgn0046296	DEF8
FBgn0017453	FBgn0263603	Zn72D
FBgn0038178	FBgn0085412	kmr
FBgn0015270	FBgn0015270	Orc2
FBgn0037378	FBgn0037378	PSMG1
FBgn0038803	FBgn0038803	CG5191
FBgn0037261	FBgn0037261	CG9775
FBgn0036366	FBgn0036366	JMJD7
FBgn0003691	FBgn0260635	Diap1
FBgn0035237	FBgn0035237	CG13917
FBgn0038617	FBgn0038617	Wdr37
FBgn0037438	FBgn0261641	CG42724
FBgn0036136	FBgn0036136	Ufd1
FBgn0027948	FBgn0027948	msps
FBgn0037709	FBgn0037709	CG8199
FBgn0039715	FBgn0083969	CG34133
FBgn0039266	FBgn0039266	CG11791
FBgn0037356	FBgn0037356	CG12170
FBgn0035244	FBgn0035244	ABCB7
FBgn0037663	FBgn0260935	Vps15
FBgn0039349	FBgn0039349	Ssadh
FBgn0036405	FBgn0036405	CG6833
FBgn0010313	FBgn0010313	corto
FBgn0035833	FBgn0035833	CG7565
FBgn0039135	FBgn0039135	CG13603
FBgn0035315	FBgn0035315	CG8960
FBgn0011716	FBgn0082582	tmod
FBgn0011716	FBgn0260440	spdo
FBgn0036684	FBgn0036684	CG3764
FBgn0036137	FBgn0260795	NaPi-III
FBgn0037308	FBgn0264785	Hph
FBgn0037044	FBgn0037044	Pdss2
FBgn0038536	FBgn0038536	CG7655
FBgn0036283	FBgn0052103	SCaMC
FBgn0017429	FBgn0017429	CG5989
FBgn0037580	FBgn0037580	DppIII
FBgn0039296	FBgn0039296	Sil1
FBgn0028582	FBgn0028582	lqf
FBgn0025455	FBgn0025455	CycT
FBgn0037384	FBgn0037384	dgrn
FBgn0039274	FBgn0039274	CG11920
FBgn0037213	FBgn0037213	CG12581
FBgn0037961	FBgn0051368	CG31368
FBgn0036534	FBgn0036534	DCP2
FBgn0014930	FBgn0014930	CG2846
FBgn0039643	FBgn0041186	Slbp
FBgn0039578	FBgn0261618	larp
FBgn0036930	FBgn0261574	kug
FBgn0026061	FBgn0026061	Mipp1
FBgn0027914	FBgn0263831	Gen
FBgn0026210	FBgn0086372	lap
FBgn0035896	FBgn0035896	CG6983
FBgn0037901	FBgn0037901	Exd2
FBgn0004493	FBgn0259113	PolA1
FBgn0038183	FBgn0038183	CG9286
FBgn0039509	FBgn0039509	bigmax
FBgn0038608	FBgn0038608	WRNexo
FBgn0037607	FBgn0037607	CG8036
FBgn0037277	FBgn0260794	ctrip
FBgn0001247	FBgn0001247	Ide
FBgn0039734	FBgn0039734	Tace
FBgn0003177	FBgn0262614	pyd
FBgn0035105	FBgn0083976	CG34140
FBgn0035105	FBgn0083992	Mkp
FBgn0035689	FBgn0035689	CG7376
FBgn0039169	FBgn0039169	Spps
FBgn0026320	FBgn0026320	Tom
FBgn0035148	FBgn0035148	CG3402
FBgn0036182	FBgn0086254	Akr1B
FBgn0001224	FBgn0001224	Hsp23
FBgn0039869	FBgn0039869	CG1890
FBgn0038760	FBgn0038760	MED25
FBgn0023423	FBgn0283468	slmb
FBgn0036494	FBgn0036494	Toll-6
FBgn0038584	FBgn0038584	mTerf5
FBgn0003600	FBgn0263740	eIF2gamma
FBgn0003600	FBgn0263755	Su(var)3-9
FBgn0027620	FBgn0027620	Acf
FBgn0017572	FBgn0017572	Mo25
FBgn0011016	FBgn0011016	SsRbeta
FBgn0000575	FBgn0000575	emc
FBgn0035267	FBgn0035267	CG13921
FBgn0001225	FBgn0001225	Hsp26
FBgn0000338	FBgn0262975	cnc
FBgn0000368	FBgn0259685	crb
FBgn0035838	FBgn0035838	ldbr
FBgn0036090	FBgn0036090	CG8009
FBgn0038100	FBgn0038100	Paip2
FBgn0002528	FBgn0267348	LanB2
FBgn0036103	FBgn0026160	tna
FBgn0001254	FBgn0001254	ImpE2
FBgn0035114	FBgn0053229	CG33229
FBgn0035114	FBgn0262109	lncRNA:CR42862
FBgn0037703	FBgn0037703	Kdm3
FBgn0015019	FBgn0015019	CCT3
FBgn0027531	FBgn0064766	CG7600
FBgn0027518	FBgn0027518	Wdr24
FBgn0004107	FBgn0004107	Cdk2
FBgn0036299	FBgn0036299	Tsf2
FBgn0038552	FBgn0038552	Alg1
FBgn0028692	FBgn0028692	Rpn2
FBgn0001323	FBgn0001323	knrl
FBgn0039141	FBgn0039141	spas
FBgn0039019	FBgn0039019	HP1c
FBgn0035205	FBgn0035205	Ctr9
FBgn0002526	FBgn0002526	LanA
FBgn0037186	FBgn0037186	CG11241
FBgn0015660	FBgn0015396	jumu
FBgn0020389	FBgn0020389	Papss
FBgn0039600	FBgn0039600	Prp39
FBgn0010340	FBgn0010340	140up
FBgn0039589	FBgn0039589	CG9986
FBgn0027660	FBgn0027660	blot
FBgn0037556	FBgn0037556	CG9636
FBgn0003002	FBgn0003002	opa
FBgn0000629	FBgn0000629	E(z)
FBgn0036513	FBgn0261109	mrn
FBgn0038433	FBgn0250754	CG42232
FBgn0037293	FBgn0037293	RabGGTa
FBgn0037700	FBgn0037700	CG8149
FBgn0010389	FBgn0010389	htl
FBgn0038304	FBgn0038304	CG12241
FBgn0038103	FBgn0051342	CG31342
FBgn0039606	FBgn0265274	Inx3
FBgn0039187	FBgn0039187	CG6454
FBgn0039144	FBgn0264325	Atg6
FBgn0004878	FBgn0004878	cas
FBgn0013334	FBgn0013334	Sap47
FBgn0035247	FBgn0035247	Mettl2
FBgn0039499	FBgn0042111	CG18766
FBgn0039636	FBgn0039636	Atg14
FBgn0037699	FBgn0043791	phu
FBgn0038385	FBgn0038385	Fbxl7
FBgn0035850	FBgn0035850	Atg18a
FBgn0000140	FBgn0000140	asp
FBgn0000071	FBgn0000071	Ama
FBgn0016792	FBgn0278604	dmt
FBgn0036516	FBgn0036516	CG7656
FBgn0037633	FBgn0037633	CG9839
FBgn0035388	FBgn0035388	CG2162
FBgn0039286	FBgn0039286	dan
FBgn0038184	FBgn0000454	Dip-B
FBgn0036761	FBgn0036761	MED19
FBgn0039073	FBgn0039073	CG4408
FBgn0037644	FBgn0037644	CG11964
FBgn0005674	FBgn0005674	GluProRS
FBgn0038538	FBgn0261987	Pxt
FBgn0036988	FBgn0036988	CG5262
FBgn0011771	FBgn0011771	Hem
FBgn0013343	FBgn0013343	Syx1A
FBgn0001179	FBgn0001179	hay
FBgn0036037	FBgn0261530	nbs
FBgn0035745	FBgn0259173	corn
FBgn0022349	FBgn0022349	CG1910
FBgn0037719	FBgn0037719	bocks
FBgn0037371	FBgn0037371	Sym
FBgn0030360	FBgn0030360	CG1806
FBgn0031098	FBgn0031098	CG17068
FBgn0029972	FBgn0040087	p115
FBgn0003048	FBgn0003048	pcx
FBgn0030242	FBgn0030242	sofe
FBgn0000719	FBgn0000719	fog
FBgn0031187	FBgn0031187	Usp2
FBgn0030211	FBgn0085443	spri
FBgn0030235	FBgn0285926	Imp
FBgn0030650	FBgn0027287	Gmap
FBgn0004643	FBgn0004643	Zw10
FBgn0004050	FBgn0004050	z
FBgn0030808	FBgn0030808	RhoGAP15B
FBgn0030606	FBgn0264389	opm
FBgn0023544	FBgn0261954	east
FBgn0020383	FBgn0003969	vap
FBgn0031020	FBgn0031020	Naa15-16
FBgn0011837	FBgn0011837	Tis11
FBgn0027792	FBgn0266284	Ns3
FBgn0004368	FBgn0004368	Ptp4E
FBgn0031059	FBgn0031059	CG14229
FBgn0030960	FBgn0030960	Atg101
FBgn0029613	FBgn0040389	mRpL14
FBgn0004655	FBgn0004655	wapl
FBgn0020547	FBgn0262699	fzr
FBgn0022768	FBgn0022768	Pp2C1
FBgn0030734	FBgn0030734	CG9911
FBgn0030086	FBgn0030086	CCT2
FBgn0000163	FBgn0000163	baz
FBgn0000259	FBgn0000259	CkIIbeta
FBgn0000499	FBgn0000499	dsh
FBgn0000524	FBgn0000524	dx
FBgn0000709	FBgn0000709	fliI
FBgn0001092	FBgn0001092	Gapdh2
FBgn0001150	FBgn0001150	gt
FBgn0002561	FBgn0002561	l(1)sc
FBgn0003079	FBgn0003079	Raf
FBgn0003411	FBgn0003411	sisA
FBgn0003463	FBgn0003463	sog
FBgn0003659	FBgn0264270	Sxl
FBgn0003865	FBgn0003865	tsg
FBgn0004102	FBgn0004102	oc
FBgn0004446	FBgn0267001	Ten-a
FBgn0004956	FBgn0004956	upd1
FBgn0013987	FBgn0013987	MAPk-Ak2
FBgn0015773	FBgn0015773	NetA
FBgn0022724	FBgn0022724	Taf8
FBgn0023518	FBgn0023518	trr
FBgn0025800	FBgn0025800	Smox
FBgn0026076	FBgn0026076	UBL3
FBgn0026089	FBgn0026089	CG14817
FBgn0027108	FBgn0027108	Inx2
FBgn0027359	FBgn0027359	Tim8
FBgn0028686	FBgn0028686	Rpt3
FBgn0029541	FBgn0040339	MED22
FBgn0029650	FBgn0040396	CG3939
FBgn0029714	FBgn0029714	CG3527
FBgn0029718	FBgn0029718	mRpL30
FBgn0029786	FBgn0046687	Tre1
FBgn0029800	FBgn0029800	lin-52
FBgn0029853	FBgn0029853	CG3781
FBgn0029868	FBgn0029868	ND-B16.6
FBgn0029884	FBgn0028360	Cdc7
FBgn0029885	FBgn0029885	CG3224
FBgn0029907	FBgn0029907	Atx-1
FBgn0029920	FBgn0029920	CR4575
FBgn0029927	FBgn0261284	bou
FBgn0029931	FBgn0029931	CG14427
FBgn0029959	FBgn0029959	Rab39
FBgn0030056	FBgn0030056	CAH3
FBgn0030090	FBgn0030090	fend
FBgn0030180	FBgn0083940	RhoU
FBgn0030189	FBgn0030189	CG2909
FBgn0030205	FBgn0261710	nocte
FBgn0030239	FBgn0030239	CG17333
FBgn0030291	FBgn0030291	CG1738
FBgn0030311	FBgn0030311	CG11699
FBgn0030312	FBgn0027259	Kmn1
FBgn0030320	FBgn0030320	CG2247
FBgn0030434	FBgn0030434	Brms1
FBgn0030510	FBgn0030510	CG12177
FBgn0030522	FBgn0030522	CG11103
FBgn0030552	FBgn0030552	mRpL38
FBgn0030572	FBgn0030572	mRpS25
FBgn0030602	FBgn0052594	be
FBgn0030611	FBgn0030611	CG15027
FBgn0030637	FBgn0040285	Scamp
FBgn0030659	FBgn0030659	CG9215
FBgn0030660	FBgn0030660	CG8097
FBgn0030673	FBgn0030673	CG15601
FBgn0030676	FBgn0030676	CG12379
FBgn0030694	FBgn0030694	CG15602
FBgn0030711	FBgn0030711	Rrp47
FBgn0030807	FBgn0030807	CG13000
FBgn0030855	FBgn0030855	CG5800
FBgn0030867	FBgn0261570	raskol
FBgn0030894	FBgn0030894	Mvb12
FBgn0030948	FBgn0004959	phm
FBgn0031036	FBgn0031036	CG14220
FBgn0031040	FBgn0031040	CG14210
FBgn0031069	FBgn0031069	Abcd3
FBgn0040853	FBgn0052666	Drak
FBgn0040890	FBgn0040890	ksh
FBgn0040899	FBgn0040899	CG17776
FBgn0040920	FBgn0052736	CG32736
FBgn0040921	FBgn0052736	CG32736
FBgn0040928	FBgn0040928	CR15345
FBgn0031174	FBgn0031174	CG1486
FBgn0003300	FBgn0003300	run
FBgn0030328	FBgn0030328	Amun
FBgn0030668	FBgn0030668	CG8128
FBgn0030679	FBgn0030679	CG8206
FBgn0030692	FBgn0030692	mRpS30
FBgn0025633	FBgn0025633	spdi
FBgn0029818	FBgn0029818	GAA1
FBgn0005410	FBgn0265630	sno
FBgn0028486	FBgn0085437	CG34408
FBgn0030671	FBgn0030671	CG8134
FBgn0027553	FBgn0027553	NELF-B
FBgn0030251	FBgn0030251	CG2145
FBgn0029878	FBgn0029878	Pat1
FBgn0003053	FBgn0003053	peb
FBgn0030327	FBgn0030327	FucT6
FBgn0001090	FBgn0001090	bnb
FBgn0026144	FBgn0026144	CBP
FBgn0023169	FBgn0023169	AMPKalpha
FBgn0030974	FBgn0030974	Flacc
FBgn0030061	FBgn0030061	CG1785
FBgn0027621	FBgn0027621	Pfrx
FBgn0003302	FBgn0003302	rux
FBgn0030411	FBgn0030411	CG2540
FBgn0029666	FBgn0029666	CG10803
FBgn0030028	FBgn0030028	Corp
FBgn0015565	FBgn0265575	yin
FBgn0023526	FBgn0023526	CG2865
FBgn0011754	FBgn0011754	PhKgamma
FBgn0015926	FBgn0015926	dah
FBgn0030241	FBgn0030241	feo
FBgn0030753	FBgn0030753	rngo
FBgn0030406	FBgn0030406	CG1463
FBgn0030274	FBgn0030274	Lint-1
FBgn0024251	FBgn0024251	bbx
FBgn0023515	FBgn0023515	Gcna
FBgn0031003	FBgn0031003	CG7889
FBgn0029958	FBgn0029958	Pdp
FBgn0004646	FBgn0004646	ogre
FBgn0030243	FBgn0030243	CG2186
FBgn0029970	FBgn0029970	Nek2
FBgn0026751	FBgn0026751	XRCC1
FBgn0024332	FBgn0284442	Mcm3
FBgn0030699	FBgn0030699	CG8578
FBgn0014133	FBgn0014133	bif
FBgn0003964	FBgn0003964	usp
FBgn0030878	FBgn0030878	CG6769
FBgn0031046	FBgn0087008	e(y)3
FBgn0029516	FBgn0040372	G9a
FBgn0030003	FBgn0030003	CG2116
FBgn0029664	FBgn0029664	CG10802
FBgn0023130	FBgn0023130	a6
FBgn0029882	FBgn0029882	CG3226
FBgn0029721	FBgn0028325	Pdha
FBgn0030858	FBgn0030858	IntS2
FBgn0023536	FBgn0023536	CG3156
FBgn0030710	FBgn0030710	CG8924
FBgn0031148	FBgn0031148	Cbs
FBgn0031105	FBgn0027334	l(1)G0004
FBgn0027521	FBgn0027521	CG3679
FBgn0011606	FBgn0011606	Klp3A
FBgn0029737	FBgn0029737	CG6903
FBgn0000257	FBgn0000257	car
FBgn0030115	FBgn0028292	ric8a
FBgn0010315	FBgn0010315	CycD
FBgn0030817	FBgn0030817	CG4991
FBgn0011761	FBgn0011761	dhd
FBgn0030063	FBgn0030063	CG1789
FBgn0030891	FBgn0030891	Ada3
FBgn0030973	FBgn0030973	CG7332
FBgn0029680	FBgn0285910	VhaAC39-1
FBgn0030944	FBgn0030944	Hou
FBgn0030967	FBgn0085451	htk
FBgn0020369	FBgn0020369	Rpt6
FBgn0030146	FBgn0028341	Ptpmeg2
FBgn0028469	FBgn0259834	out
FBgn0030557	FBgn0002873	mud
FBgn0030557	FBgn0260482	CG32599
FBgn0030849	FBgn0026313	X11L
FBgn0000376	FBgn0000376	crm
FBgn0031118	FBgn0031118	RhoGAP19D
FBgn0026080	FBgn0026080	Tip60
FBgn0031062	FBgn0031062	CG14230
FBgn0031061	FBgn0031061	CG14232
FBgn0030321	FBgn0030321	CG1703
FBgn0030871	FBgn0030871	CG8142
FBgn0026143	FBgn0026143	Cdc45
FBgn0030870	FBgn0030870	CG6398
FBgn0030854	FBgn0030854	CG8289
FBgn0030435	FBgn0030435	CG4645
FBgn0026749	FBgn0026749	Yippee
FBgn0010269	FBgn0010269	Dsor1
FBgn0030856	FBgn0026375	RhoGAPp190
FBgn0031120	FBgn0026323	Tak1
FBgn0031091	FBgn0031091	Phf7
FBgn0030612	FBgn0030612	Dbct
FBgn0023527	FBgn0023527	CG3071
FBgn0025617	FBgn0260855	Sec22
FBgn0000520	FBgn0000520	dwg
FBgn0032017	FBgn0032017	CG7810
FBgn0031291	FBgn0053526	PNUTS
FBgn0031950	FBgn0031950	Herp
FBgn0031657	FBgn0031657	Polr1C
FBgn0031590	FBgn0031590	CG3702
FBgn0003278	FBgn0003278	Polr1B
FBgn0032466	FBgn0021796	Tor
FBgn0024245	FBgn0024245	dnt
FBgn0031290	FBgn0029095	aru
FBgn0028894	FBgn0028894	GMF
FBgn0032731	FBgn0032731	Swip-1
FBgn0032036	FBgn0032036	CG13384
FBgn0001309	FBgn0266557	kis
FBgn0031605	FBgn0025684	MFS18
FBgn0028633	FBgn0086657	IKKepsilon
FBgn0032205	FBgn0032205	CG4957
FBgn0015772	FBgn0015772	Nak
FBgn0032646	FBgn0032646	mEFTs
FBgn0032197	FBgn0032197	ova
FBgn0011673	FBgn0086347	Myo31DF
FBgn0000413	FBgn0267821	da
FBgn0001994	FBgn0001994	crp
FBgn0003310	FBgn0003310	S
FBgn0003716	FBgn0003716	tkv
FBgn0005672	FBgn0005672	spi
FBgn0011202	FBgn0011202	dia
FBgn0011584	FBgn0011584	Trp1
FBgn0011638	FBgn0011638	La
FBgn0014015	FBgn0264895	RapGAP1
FBgn0015000	FBgn0015000	betaggt-I
FBgn0015299	FBgn0015299	Ssb-c31a
FBgn0015567	FBgn0264855	AP-2alpha
FBgn0015621	FBgn0015621	Clp
FBgn0015924	FBgn0015924	crq
FBgn0024320	FBgn0024320	Npc1a
FBgn0026379	FBgn0026379	Pten
FBgn0028538	FBgn0028538	Sec71
FBgn0028694	FBgn0028694	Rpn11
FBgn0031243	FBgn0086855	CG17078
FBgn0031434	FBgn0031434	insv
FBgn0031475	FBgn0051694	Ifrd1
FBgn0031535	FBgn0031535	CG12795
FBgn0031607	FBgn0031607	Secp43
FBgn0031636	FBgn0031636	CG12194
FBgn0031806	FBgn0043854	slam
FBgn0031898	FBgn0263133	mEFG1
FBgn0032154	FBgn0032154	mtDNA-helicase
FBgn0032194	FBgn0032194	CG4901
FBgn0032195	FBgn0032195	CG4908
FBgn0032202	FBgn0032202	REPTOR-BP
FBgn0032217	FBgn0032217	CG4972
FBgn0032244	FBgn0032244	RfC3
FBgn0032298	FBgn0032298	CG6724
FBgn0032355	FBgn0040232	cmet
FBgn0032390	FBgn0032390	dgt2
FBgn0032468	FBgn0028965	CG9933
FBgn0032960	FBgn0086779	step
FBgn0040518	FBgn0086779	step
FBgn0032157	FBgn0032157	Etl1
FBgn0027609	FBgn0027609	morgue
FBgn0028541	FBgn0028541	TM9SF4
FBgn0031645	FBgn0031645	CG3036
FBgn0000675	FBgn0000675	flp
FBgn0022153	FBgn0022153	l(2)k05819
FBgn0032395	FBgn0032395	Wdr81
FBgn0024371	FBgn0024371	E2f2
FBgn0031897	FBgn0031897	CG13784
FBgn0010460	FBgn0259176	bun
FBgn0017551	FBgn0017551	Rca1
FBgn0028926	FBgn0028926	NC2beta
FBgn0020304	FBgn0020304	drongo
FBgn0032358	FBgn0032358	Ppt2
FBgn0031971	FBgn0031971	Sirup
FBgn0028507	FBgn0028507	CG3793
FBgn0016930	FBgn0016930	Dyrk2
FBgn0031536	FBgn0031536	Cog3
FBgn0032079	FBgn0032079	CG31886
FBgn0032841	FBgn0003978	vls
FBgn0032121	FBgn0032120	CG33298
FBgn0031661	FBgn0031661	Gmd
FBgn0032451	FBgn0032451	spict
FBgn0031899	FBgn0259111	Ndae1
FBgn0024291	FBgn0024291	Sirt1
FBgn0032694	FBgn0032694	MESR3
FBgn0031911	FBgn0028387	chm
FBgn0031435	FBgn0031435	Elba2
FBgn0005683	FBgn0005683	pie
FBgn0032873	FBgn0032873	CG2614
FBgn0031303	FBgn0016926	Pino
FBgn0010300	FBgn0010300	brat
FBgn0032691	FBgn0032691	Atac2
FBgn0031250	FBgn0031250	Ent1
FBgn0031752	FBgn0031752	CG9044
FBgn0019890	FBgn0019890	Smg5
FBgn0032118	FBgn0011232	scat
FBgn0032393	FBgn0032393	Nfs1
FBgn0010382	FBgn0010382	CycE
FBgn0020240	FBgn0267488	Mcr
FBgn0023388	FBgn0023388	Dap160
FBgn0002973	FBgn0002973	numb
FBgn0031633	FBgn0031633	Fnta
FBgn0015600	FBgn0015600	toc
FBgn0019686	FBgn0019686	lok
FBgn0031875	FBgn0031875	CG3430
FBgn0020616	FBgn0020616	SA
FBgn0011207	FBgn0011207	pelo
FBgn0003444	FBgn0003444	smo
FBgn0031769	FBgn0031769	CG9135
FBgn0032880	FBgn0032880	TM9SF2
FBgn0032348	FBgn0032348	CG4751
FBgn0010229	FBgn0261239	Hr39
FBgn0033802	FBgn0033802	CG17724
FBgn0033740	FBgn0033740	dgt5
FBgn0033454	FBgn0033454	CG1671
FBgn0035026	FBgn0035026	Fcp1
FBgn0033609	FBgn0033609	Fbl6
FBgn0032886	FBgn0032886	CG9328
FBgn0003175	FBgn0003175	px
FBgn0025185	FBgn0025185	az2
FBgn0003701	FBgn0003701	thr
FBgn0023172	FBgn0023172	RhoGEF2
FBgn0034504	FBgn0034504	CG8929
FBgn0034964	FBgn0034964	IntS1
FBgn0022764	FBgn0022764	Sin3A
FBgn0003044	FBgn0003044	Pcl
FBgn0004055	FBgn0004055	uzip
FBgn0033796	FBgn0259876	Cap-G
FBgn0034271	FBgn0034271	Vps50
FBgn0034280	FBgn0041585	Orai
FBgn0034447	FBgn0034447	CG7744
FBgn0016078	FBgn0016078	wun
FBgn0025790	FBgn0025790	TBPH
FBgn0035075	FBgn0085442	NKAIN
FBgn0028552	FBgn0028552	gammaSnap1
FBgn0033631	FBgn0033631	Sod3
FBgn0034342	FBgn0063492	GstE8
FBgn0033846	FBgn0033846	mip120
FBgn0033804	FBgn0028991	seq
FBgn0033804	FBgn0033802	CG17724
FBgn0033804	FBgn0053182	Kdm4B
FBgn0033974	FBgn0053505	U3-55K
FBgn0033974	FBgn0053506	CG33506
FBgn0034058	FBgn0034058	Pex11ab
FBgn0027519	FBgn0021847	Ttc7
FBgn0011704	FBgn0011704	RnrS
FBgn0033398	FBgn0020621	Pkn
FBgn0032444	FBgn0032444	CCT4
FBgn0000142	FBgn0261823	Asx
FBgn0002525	FBgn0002525	Lam
FBgn0003082	FBgn0003082	phr
