flybase_gene_id	external_gene_name	refseq_mrna
FBgn0083977	CG34141	NM_001043069
FBgn0083977	CG34141	NM_001169626
FBgn0265894	lncRNA:CR44683	NA
FBgn0266838	asRNA:CR45300	NA
FBgn0034740	nsr	NM_001299807
FBgn0034740	nsr	NM_137838
FBgn0051522	CG31522	NM_169003
FBgn0051522	CG31522	NM_001275325
FBgn0051522	CG31522	NM_001259977
FBgn0051522	CG31522	NM_169002
FBgn0051522	CG31522	NM_169001
FBgn0051522	CG31522	NM_001259976
FBgn0051522	CG31522	NM_001259978
FBgn0011872	tRNA:Gly-GCC-1-13	NA
FBgn0283535	Vha26	NM_079513
FBgn0283535	Vha26	NM_001300253
FBgn0283535	Vha26	NM_169073
FBgn0031312	Tango14	NM_001272928
FBgn0031312	Tango14	NM_134733
FBgn0261054	Sfp24Bc	NM_001169391
FBgn0023083	fray	NM_169823
FBgn0023083	fray	NA
FBgn0023083	fray	NM_001316521
FBgn0023083	fray	NM_001144605
FBgn0023083	fray	NM_001300466
FBgn0023083	fray	NM_001144606
FBgn0023083	fray	NM_001144607
FBgn0023083	fray	NM_057960
FBgn0028942	CG16852	NM_135817
FBgn0032517	CG7099	NM_135804
FBgn0037902	CG5281	NM_141819
FBgn0267792	rgr	NM_001169618
FBgn0267792	rgr	NM_165611
FBgn0051133	Slimp	NM_170125
FBgn0037040	CG12983	NM_001144520
FBgn0037040	CG12983	NM_001275204
FBgn0037040	CG12983	NM_001259924
FBgn0037040	CG12983	NM_001144519
FBgn0037040	CG12983	NM_001144518
FBgn0085802	18SrRNA:CR41548	NA
FBgn0015031	cype	NM_001258956
FBgn0015031	cype	NM_001258957
FBgn0015031	cype	NM_080526
FBgn0034894	sigmar	NM_166621
FBgn0034894	sigmar	NM_166622
FBgn0034894	sigmar	NM_137976
FBgn0000633	CG17716	NM_001299462
FBgn0000633	CG17716	NM_079007
FBgn0015376	cutlet	NM_175955
FBgn0260721	CR42548	NA
FBgn0263630	mir-3641	NA
FBgn0033350	CG8237	NM_136581
FBgn0033954	CG12860	NM_137135
FBgn0037395	CG10280	NM_001260013
FBgn0037395	CG10280	NM_141350
FBgn0014877	Roe1	NM_137042
FBgn0267950	lncRNA:CR46230	NA
FBgn0035504	Teh4	NM_139609
FBgn0032968	CG11634	NM_001299200
FBgn0032968	CG11634	NM_136284
FBgn0265606	Prosalpha4T1	NM_142653
FBgn0262843	CG43207	NM_001259547
FBgn0032699	CG10383	NM_001299126
FBgn0032699	CG10383	NM_136052
FBgn0027490	D12	NM_135384
FBgn0012001	tRNA:Val-CAC-2-4	NA
FBgn0267521	18SrRNA-Psi:CR45861	NA
FBgn0030400	Pits	NM_001144720
FBgn0030400	Pits	NM_001272557
FBgn0030400	Pits	NM_132581
FBgn0267546	asRNA:CR45886	NA
FBgn0286028	lncRNA:CR46348	NA
FBgn0030864	CG8173	NM_133011
FBgn0030899	Hesr	NM_080355
FBgn0033551	CG7222	NM_136769
FBgn0033551	CG7222	NM_001299366
FBgn0027564	CG3149	NM_132018
FBgn0039196	CG17781	NM_143001
FBgn0086073	snoRNA:Me18S-A1494	NA
FBgn0265373	CG44314	NM_001299402
FBgn0265373	CG44314	NM_001299401
FBgn0265373	CG44314	NM_001299400
FBgn0265834	CG44623	NM_001299694
FBgn0004107	Cdk2	NM_079696
FBgn0004107	Cdk2	NM_001170195
FBgn0004107	Cdk2	NM_169916
FBgn0035140	BORCS6	NM_001274285
FBgn0035140	BORCS6	NM_138193
FBgn0250823	gish	NM_080202
FBgn0250823	gish	NA
FBgn0250823	gish	NM_169712
FBgn0250823	gish	NM_176506
FBgn0250823	gish	NM_001014628
FBgn0250823	gish	NM_001170157
FBgn0250823	gish	NM_001014626
FBgn0250823	gish	NM_169711
FBgn0250823	gish	NM_001260209
FBgn0250823	gish	NM_001014627
FBgn0250823	gish	NM_001275695
FBgn0250823	gish	NM_001260208
FBgn0250823	gish	NM_001275696
FBgn0250823	gish	NM_169713
FBgn0040805	CG12355	NM_001104140
FBgn0040805	CG12355	NM_206369
FBgn0040805	CG12355	NM_001274946
FBgn0040805	CG12355	NM_001169976
FBgn0052638	CG32638	NM_167348
FBgn0030554	CG1434	NM_001298308
FBgn0030554	CG1434	NM_132722
FBgn0263516	mir-4958	NA
FBgn0037812	CG18545	NM_141741
FBgn0026196	nop5	NM_058064
FBgn0037950	HisCl1	NM_169429
FBgn0037950	HisCl1	NM_001170120
FBgn0037950	HisCl1	NM_206474
FBgn0037950	HisCl1	NM_141859
FBgn0004197	Ser	NM_001300629
FBgn0004197	Ser	NM_079803
FBgn0001079	fu	NM_058151
FBgn0284253	LeuRS	NM_175954
FBgn0284253	LeuRS	NM_001298660
FBgn0032161	CG4594	NM_001273376
FBgn0032161	CG4594	NM_135479
FBgn0003936	snRNA:U5:35D	NA
FBgn0030014	CG15337	NM_132227
FBgn0262114	RanBPM	NM_136741
FBgn0262114	RanBPM	NM_001316413
FBgn0262114	RanBPM	NM_001259326
FBgn0262114	RanBPM	NM_001038849
FBgn0262114	RanBPM	NM_165770
FBgn0262114	RanBPM	NM_001273938
FBgn0260231	CG42505	NM_001170122
FBgn0037512	CG2616	NM_141474
FBgn0037512	CG2616	NM_001300283
FBgn0286876	CG46398	NA
FBgn0036391	CG17364	NM_176328
FBgn0036391	CG17364	NM_001274887
FBgn0036391	CG17364	NM_001274888
FBgn0036391	CG17364	NM_140417
FBgn0037714	CG9396	NM_141655
FBgn0039237	CG13640	NM_143043
FBgn0035955	CG5194	NM_001274682
FBgn0035955	CG5194	NM_140024
FBgn0050067	Obp50a	NM_206110
FBgn0050067	Obp50a	NM_166050
FBgn0263850	CG43711	NM_001274177
FBgn0030286	Gapvd1	NM_132476
FBgn0267933	lncRNA:CR46213	NA
FBgn0265582	lncRNA:CR44409	NA
FBgn0260477	CG30283	NM_137743
FBgn0283437	PPO1	NM_057464
FBgn0266975	lncRNA:CR45426	NA
FBgn0000709	fliI	NM_080358
FBgn0053966	CG33966	NM_001038895
FBgn0033729	Cpr49Af	NM_001299418
FBgn0033729	Cpr49Af	NM_136931
FBgn0267537	lncRNA:CR45877	NA
FBgn0031189	CG14618	NM_134620
FBgn0267657	asRNA:CR45995	NA
FBgn0263998	Ack-like	NM_001274006
FBgn0263998	Ack-like	NM_057739
FBgn0263998	Ack-like	NM_057738
FBgn0263998	Ack-like	NM_001274005
FBgn0053505	U3-55K	NM_001014529
FBgn0267652	pre-mod(mdg4)-N	NM_001316604
FBgn0267652	pre-mod(mdg4)-N	NM_001316603
FBgn0263742	CG43667	NM_001274179
FBgn0032799	CG10166	NM_136136
FBgn0262730	dtn	NM_001298004
FBgn0262730	dtn	NM_132072
FBgn0262730	dtn	NM_001258618
FBgn0262730	dtn	NM_001298003
FBgn0030975	SdhBL	NM_133112
FBgn0030975	SdhBL	NM_001298491
FBgn0037844	CG4570	NM_141770
FBgn0028648	mRpL50	NM_139835
FBgn0261839	pre-mod(mdg4)-Y	NM_001202329
FBgn0261839	pre-mod(mdg4)-Y	NM_001316597
FBgn0035529	Fdx2	NM_139632
FBgn0267022	asRNA:CR45466	NA
FBgn0267199	lncRNA:CR45639	NA
FBgn0052311	zormin	NM_001274386
FBgn0052311	zormin	NM_001274388
FBgn0052311	zormin	NM_206240
FBgn0052311	zormin	NM_001043112
FBgn0052311	zormin	NM_001043113
FBgn0052311	zormin	NM_001043114
FBgn0266593	lncRNA:CR45118	NA
FBgn0013690	mt:tRNA:Cys-GCA	NA
FBgn0261787	brun	NM_136200
FBgn0267504	28SrRNA:CR45844	NA
FBgn0034219	mthl4	NM_176214
FBgn0037883	CG14701	NM_141800
FBgn0039877	Mccc1	NM_143639
FBgn0039877	Mccc1	NM_170577
FBgn0039877	Mccc1	NM_001260463
FBgn0039877	Mccc1	NM_001260462
FBgn0014949	btn	NM_170026
FBgn0086856	CG11555	NM_001298615
FBgn0086856	CG11555	NM_134666
FBgn0265992	lncRNA:CR44767	NA
FBgn0267006	lncRNA:CR45450	NA
FBgn0036176	CG7377	NM_206330
FBgn0262782	Mdh1	NM_001298874
FBgn0262782	Mdh1	NM_135550
FBgn0038206	twf	NM_142081
FBgn0052075	CG32075	NM_140171
FBgn0052075	CG32075	NM_001259783
FBgn0030930	Pgant7	NM_133073
FBgn0030930	Pgant7	NM_167623
FBgn0030930	Pgant7	NM_001298477
FBgn0032820	fbp	NM_165314
FBgn0032820	fbp	NM_001299162
FBgn0032820	fbp	NM_001299161
FBgn0032820	fbp	NM_136157
FBgn0286868	lncRNA:SMRG	NA
FBgn0036063	CG6674	NM_140120
FBgn0036063	CG6674	NM_001274743
FBgn0052811	CG32811	NM_166877
FBgn0046296	DEF8	NM_140292
FBgn0035151	CG17129	NM_167838
FBgn0035151	CG17129	NM_167837
FBgn0035151	CG17129	NM_138204
FBgn0000273	Pka-C1	NM_057629
FBgn0000273	Pka-C1	NM_205950
FBgn0000273	Pka-C1	NM_164866
FBgn0036070	CG8072	NM_140127
FBgn0039764	CG15535	NM_143531
FBgn0039764	CG15535	NM_001300683
FBgn0038402	Fer2	NM_079652
FBgn0038402	Fer2	NM_001300429
FBgn0038402	Fer2	NM_001300431
FBgn0038402	Fer2	NM_001300430
FBgn0267070	lncRNA:CR45514	NA
FBgn0267045	CG45489	NM_001298541
FBgn0013683	mt:ND4L	NA
FBgn0039286	dan	NM_001276020
FBgn0039286	dan	NM_001276019
FBgn0039286	dan	NM_143089
FBgn0034202	CG17287	NM_137353
FBgn0035987	Cpsf5	NM_001043132
FBgn0035987	Cpsf5	NM_140051
FBgn0025186	ari-2	NM_058026
FBgn0038183	CG9286	NM_142060
FBgn0053810	His1:CG33810	NM_001032124
FBgn0029740	CG12680	NM_131973
FBgn0029740	CG12680	NM_001297947
FBgn0032789	CG13083	NM_206005
FBgn0011837	Tis11	NM_167333
FBgn0011837	Tis11	NM_078586
FBgn0011837	Tis11	NM_001272561
FBgn0034486	CG13869	NM_137614
FBgn0267413	CG45766	NM_001316654
FBgn0264872	asRNA:CR44063	NA
FBgn0034795	MED23	NM_137891
FBgn0026398	Or22a	NM_078729
FBgn0086611	Lcp65Ag3	NM_144405
FBgn0033208	mRpL52	NM_136469
FBgn0033607	CG9062	NM_001273957
FBgn0033607	CG9062	NM_165814
FBgn0034097	CG3687	NM_137258
FBgn0034468	Obp56a	NM_137598
FBgn0038412	Zip89B	NM_080499
FBgn0038806	CG5412	NM_142638
FBgn0022943	Cbp20	NM_079672
FBgn0013469	klu	NM_001274761
FBgn0013469	klu	NM_001300095
FBgn0013469	klu	NM_057714
FBgn0013469	klu	NM_001274762
FBgn0266989	lncRNA:CR45440	NA
FBgn0052642	CG32642	NM_001298246
FBgn0052642	CG32642	NM_167343
FBgn0041626	Or19a	NM_080274
FBgn0005585	Calr	NM_079569
FBgn0005585	Calr	NM_001275501
FBgn0262851	CR43215	NA
FBgn0267544	lncRNA:CR45884	NA
FBgn0052829	CG32829	NM_164719
FBgn0040212	Dhap-at	NM_001276027
FBgn0040212	Dhap-at	NM_001276028
FBgn0040212	Dhap-at	NM_080271
FBgn0053189	CG33189	NM_176422
FBgn0040551	CG11686	NM_001275602
FBgn0040551	CG11686	NM_143947
FBgn0064119	CG33934	NM_001170189
FBgn0064119	CG33934	NM_001032029
FBgn0064119	CG33934	NM_001032028
FBgn0262408	mir-5	NA
FBgn0031413	CG9967	NM_001014461
FBgn0031413	CG9967	NM_001272994
FBgn0031413	CG9967	NM_134825
FBgn0029891	Pink1	NM_001031881
FBgn0029891	Pink1	NM_001031880
FBgn0029891	Pink1	NM_001298023
FBgn0029891	Pink1	NM_001031882
FBgn0029891	Pink1	NM_132112
FBgn0029891	Pink1	NM_001031883
FBgn0029891	Pink1	NM_001031879
FBgn0029891	Pink1	NM_167083
FBgn0029891	Pink1	NM_001031878
FBgn0034651	CG15676	NM_137758
FBgn0034651	CG15676	NM_001299760
FBgn0261885	osa	NM_206506
FBgn0261885	osa	NM_169775
FBgn0261885	osa	NM_001275752
FBgn0261885	osa	NM_001275751
FBgn0261885	osa	NM_079668
FBgn0261885	osa	NM_001170168
FBgn0039494	grass	NM_143286
FBgn0039494	grass	NM_170318
FBgn0260658	CG42541	NM_001038740
FBgn0260658	CG42541	NM_206622
FBgn0260658	CG42541	NM_001272295
FBgn0260658	CG42541	NM_001272296
FBgn0039591	CG9988	NM_143368
FBgn0262187	mir-970	NA
FBgn0051228	tRNA:Pro-TGG-1-5	NA
FBgn0035779	CG8562	NM_139861
FBgn0266007	lncRNA:CR44780	NA
FBgn0053286	CG33286	NM_001104183
FBgn0053903	His4:CG33903	NM_001032126
FBgn0041233	Gr59e	NM_176251
FBgn0085479	CG34450	NM_001103453
FBgn0264368	asRNA:CR43820	NA
FBgn0034237	eIF3b	NM_166239
FBgn0034237	eIF3b	NM_137384
FBgn0029762	NAAT1	NM_131991
FBgn0267770	asRNA:CR46101	NA
FBgn0037955	Kyat	NM_169437
FBgn0037955	Kyat	NM_169438
FBgn0037955	Kyat	NM_176463
FBgn0037955	Kyat	NM_141864
FBgn0011701	repo	NM_057678
FBgn0286029	lncRNA:CR46349	NA
FBgn0086253	rumi	NM_001275920
FBgn0086253	rumi	NM_142838
FBgn0265534	lncRNA:CR44384	NA
FBgn0053433	5SrRNA:CR33433	NA
FBgn0013706	mt:tRNA:Ser-TGA	NA
FBgn0265161	lncRNA:CR44230	NA
FBgn0032406	CG14947	NM_135702
FBgn0038498	beat-IIa	NM_079660
FBgn0038498	beat-IIa	NM_001300446
FBgn0020644	Lcp65Ab1	NM_080075
FBgn0029945	CG18155	NM_206637
FBgn0267819	asRNA:CR46144	NA
FBgn0019940	Rh6	NM_079644
FBgn0028944	Semp1	NM_135912
FBgn0037985	ssp5	NM_141892
FBgn0030740	CG9917	NM_001272676
FBgn0030740	CG9917	NM_132889
FBgn0052368	CG32368	NM_168244
FBgn0003502	Btk29A	NM_057397
FBgn0003502	Btk29A	NM_001103650
FBgn0003502	Btk29A	NM_057398
FBgn0003502	Btk29A	NM_001273315
FBgn0003502	Btk29A	NM_001273314
FBgn0003502	Btk29A	NM_164804
FBgn0003502	Btk29A	NM_001103651
FBgn0003502	Btk29A	NM_164805
FBgn0286783	Etf-QO	NM_001259302
FBgn0286783	Etf-QO	NM_136692
FBgn0032731	Swip-1	NM_136081
FBgn0032731	Swip-1	NM_001299150
FBgn0261987	Pxt	NM_142391
FBgn0286726	snoRNA:Or-ACA6	NA
FBgn0036997	CG5955	NM_140973
FBgn0264443	CG43861	NM_136173
FBgn0264443	CG43861	NM_001273686
FBgn0264443	CG43861	NM_001299164
FBgn0264443	CG43861	NM_001169548
FBgn0013678	mt:Cyt-b	NA
FBgn0041171	ago	NM_079198
FBgn0041171	ago	NM_168073
FBgn0041171	ago	NM_168072
FBgn0265610	CG44428	NM_001298283
FBgn0265886	lncRNA:CR44675	NA
FBgn0267602	lncRNA:CR45940	NA
FBgn0025352	Mtpbeta	NM_058030
FBgn0053315	CR33315	NA
FBgn0039297	CG11852	NM_143100
FBgn0036619	Cpr72Ec	NM_140627
FBgn0033169	CG11123	NM_136432
FBgn0029688	lva	NM_001297920
FBgn0029688	lva	NM_080325
FBgn0038592	CG18599	NM_142444
FBgn0036528	CG7579	NM_140542
FBgn0063127	lncRNA:CR33938	NA
FBgn0052814	CG32814	NM_166869
FBgn0284220	Top2	NM_001273651
FBgn0284220	Top2	NM_057412
FBgn0261560	Thor	NM_001298659
FBgn0261560	Thor	NM_057947
FBgn0030997	CG7990	NM_001298500
FBgn0030997	CG7990	NM_001258815
FBgn0030997	CG7990	NM_133133
FBgn0264739	CG43997	NM_001272705
FBgn0034105	CG7755	NM_137266
FBgn0267005	lncRNA:CR45449	NA
FBgn0086558	Ubi-p5E	NM_001298008
FBgn0086558	Ubi-p5E	NM_167065
FBgn0025355	SuUR	NM_080096
FBgn0011871	tRNA:Gly-GCC-1-12	NA
FBgn0020414	Idgf3	NM_165157
FBgn0020414	Idgf3	NM_001299053
FBgn0020414	Idgf3	NM_165158
FBgn0020414	Idgf3	NM_057908
FBgn0050454	tRNA:Glu-CTC-2-1	NA
FBgn0265752	lncRNA:CR44559	NA
FBgn0038257	smp-30	NM_169602
FBgn0038257	smp-30	NM_001275651
FBgn0038257	smp-30	NM_079629
FBgn0038257	smp-30	NM_001275652
FBgn0085204	CG34175	NM_001103603
FBgn0265863	lncRNA:CR44652	NA
FBgn0015829	TfIIEbeta	NM_001169875
FBgn0015829	TfIIEbeta	NM_079199
FBgn0263453	asRNA:CR43476	NA
FBgn0032603	CG17928	NM_001273586
FBgn0032603	CG17928	NM_135966
FBgn0264841	asRNA:CR44049	NA
FBgn0266967	lncRNA:CR45418	NA
FBgn0010397	LamC	NM_079018
FBgn0010397	LamC	NM_001274045
FBgn0263333	lncRNA:CR43414	NA
FBgn0015240	Hr96	NM_079769
FBgn0032171	CG5846	NM_135489
FBgn0032171	CG5846	NM_001316389
FBgn0032322	CG16743	NM_135632
FBgn0032322	CG16743	NM_001273438
FBgn0010278	Ssrp	NM_079106
FBgn0039436	TwdlB	NM_143229
FBgn0265724	lncRNA:CR44531	NA
FBgn0082923	snoRNA:Or-aca3	NA
FBgn0266233	lncRNA:CR44928	NA
FBgn0052733	CR32733	NM_167099
FBgn0263515	mir-4983	NA
FBgn0267047	CG45491	NM_001298543
FBgn0262485	CG43075	NM_001258748
FBgn0259989	CG42486	NM_001169489
FBgn0259989	CG42486	NM_001298924
FBgn0036345	CG17300	NM_140374
FBgn0051678	CG31678	NM_001144372
FBgn0051678	CG31678	NM_001299177
FBgn0051678	CG31678	NM_165336
FBgn0035625	Blimp-1	NM_001274513
FBgn0035625	Blimp-1	NM_139725
FBgn0035625	Blimp-1	NM_001274516
FBgn0035625	Blimp-1	NM_001300016
FBgn0035625	Blimp-1	NM_001274515
FBgn0035625	Blimp-1	NM_001274514
FBgn0261261	plx	NM_169095
FBgn0261261	plx	NM_169094
FBgn0261261	plx	NM_001275368
FBgn0261261	plx	NM_001170040
FBgn0261261	plx	NM_001275369
FBgn0262878	CG43233	NM_001259177
FBgn0262878	CG43233	NM_001299174
FBgn0025583	BomS2	NM_166277
FBgn0083000	snoRNA:Psi28S-1192b	NA
FBgn0038505	CG17283	NM_142364
FBgn0039109	CG10365	NM_170087
FBgn0039109	CG10365	NM_206547
FBgn0039109	CG10365	NM_142919
FBgn0039109	CG10365	NM_170086
FBgn0259840	Su(Ste):CR42409	NA
FBgn0259243	Pka-R1	NM_001014597
FBgn0259243	Pka-R1	NM_001202220
FBgn0259243	Pka-R1	NM_001202218
FBgn0259243	Pka-R1	NM_001014596
FBgn0259243	Pka-R1	NM_168876
FBgn0259243	Pka-R1	NM_001202216
FBgn0259243	Pka-R1	NM_168877
FBgn0259243	Pka-R1	NM_001202219
FBgn0259243	Pka-R1	NM_079465
FBgn0259243	Pka-R1	NM_141006
FBgn0259243	Pka-R1	NM_001014598
FBgn0259243	Pka-R1	NM_001014594
FBgn0259243	Pka-R1	NM_001202215
FBgn0259243	Pka-R1	NM_168875
FBgn0259243	Pka-R1	NM_001014593
FBgn0259243	Pka-R1	NM_001202221
FBgn0259243	Pka-R1	NM_001014595
FBgn0259243	Pka-R1	NM_001202217
FBgn0004858	elB	NM_205990
FBgn0004858	elB	NM_078842
FBgn0051580	tRNA:Ala-AGC-2-8	NA
FBgn0027563	CG9631	NM_142088
FBgn0036510	SCCRO	NM_001259842
FBgn0036510	SCCRO	NM_001259840
FBgn0036510	SCCRO	NM_001274954
FBgn0036510	SCCRO	NM_001259841
FBgn0036510	SCCRO	NM_140520
FBgn0034936	Stoml2	NM_001274232
FBgn0034936	Stoml2	NM_138009
FBgn0001179	hay	NM_001144459
FBgn0001179	hay	NM_079296
FBgn0016970	l(2)k10201	NM_176116
FBgn0054011	CG34011	NM_001038789
FBgn0265667	lncRNA:CR44474	NA
FBgn0004387	Klp98A	NM_079808
FBgn0004387	Klp98A	NM_001260410
FBgn0265068	asRNA:CR44179	NA
FBgn0026309	aft	NM_058065
FBgn0265254	lncRNA:CR44268	NA
FBgn0086048	snoRNA:Me28S-U3344b	NA
FBgn0038422	CG14880	NM_142281
FBgn0038422	CG14880	NM_169716
FBgn0052656	Muc11A	NM_001298221
FBgn0023076	Clk	NM_001014574
FBgn0023076	Clk	NM_001014576
FBgn0023076	Clk	NM_170628
FBgn0023076	Clk	NM_206299
FBgn0023076	Clk	NM_079240
FBgn0032083	CG9541	NM_001273344
FBgn0032083	CG9541	NM_135419
FBgn0031090	Rab35	NM_001272810
FBgn0031090	Rab35	NM_001201749
FBgn0031090	Rab35	NM_001272809
FBgn0031090	Rab35	NM_134529
FBgn0038195	CG3061	NM_142071
FBgn0053276	Urm1	NM_206296
FBgn0034946	CG3065	NM_166642
FBgn0034946	CG3065	NM_166643
FBgn0034946	CG3065	NM_138017
FBgn0016036	mei-P22	NM_079232
FBgn0262477	FoxP	NM_001260082
FBgn0262477	FoxP	NM_001316572
FBgn0262477	FoxP	NM_001104256
FBgn0002985	odd	NM_164546
FBgn0032385	CG16964	NM_135682
FBgn0032385	CG16964	NM_001298926
FBgn0054002	CG34002	NM_001038940
FBgn0050359	Mal-A5	NM_001299268
FBgn0050359	Mal-A5	NM_001169617
FBgn0050359	Mal-A5	NM_136538
FBgn0039543	CROT	NM_170353
FBgn0039543	CROT	NM_001347746
FBgn0039543	CROT	NM_170351
FBgn0039543	CROT	NM_170352
FBgn0039543	CROT	NM_170354
FBgn0039543	CROT	NM_001347745
FBgn0025578	Lcp9	NM_079130
FBgn0034221	CG10764	NM_137369
FBgn0283462	IMPPP	NM_165981
FBgn0283462	IMPPP	NM_165982
FBgn0085458	CG34429	NM_001104128
FBgn0020018	Ppox	NM_143021
FBgn0002869	MtnB	NM_001300496
FBgn0002869	MtnB	NM_001300497
FBgn0002869	MtnB	NM_079689
FBgn0267435	chp	NM_079866
FBgn0267435	chp	NM_001276206
FBgn0267435	chp	NM_001276205
FBgn0267435	chp	NM_001276207
FBgn0267435	chp	NM_001276208
FBgn0033446	CG1648	NM_001299324
FBgn0033446	CG1648	NM_136674
FBgn0033446	CG1648	NM_165696
FBgn0029912	CG4557	NM_132132
FBgn0263934	esn	NM_165507
FBgn0263934	esn	NM_001273831
FBgn0263934	esn	NM_001273832
FBgn0263934	esn	NM_080251
FBgn0264000	GluRIB	NM_080016
FBgn0264000	GluRIB	NM_001274693
FBgn0264000	GluRIB	NM_001316480
FBgn0264000	GluRIB	NM_001274692
FBgn0028912	tRNA:Pro-AGG-1-2	NA
FBgn0283435	CR46279	NA
FBgn0061515	endos	NM_001259816
FBgn0061515	endos	NM_001274892
FBgn0061515	endos	NM_001274891
FBgn0061515	endos	NM_140427
FBgn0061515	endos	NM_168572
FBgn0061515	endos	NM_001259817
FBgn0031910	CG15818	NM_135272
FBgn0012026	tRNA:Tyr-GTA-1-6	NA
FBgn0029931	CG14427	NM_132151
FBgn0028694	Rpn11	NM_135061
FBgn0264379	lncRNA:CR43831	NA
FBgn0065051	scaRNA:MeU5-U42	NA
FBgn0014366	noi	NM_057766
FBgn0266847	lncRNA:CR45309	NA
FBgn0083038	snoRNA:Psi18S-525a	NA
FBgn0033569	CG12942	NM_136784
FBgn0028513	CG9254	NM_135820
FBgn0054003	NimB3	NM_001038816
FBgn0030874	Spt7	NM_133020
FBgn0037305	CG12173	NM_141266
FBgn0051914	tRNA:Asp-GTC-1-1	NA
FBgn0000414	Dab	NM_001169984
FBgn0000414	Dab	NM_001275039
FBgn0000414	Dab	NM_001259872
FBgn0000414	Dab	NM_001259873
FBgn0000414	Dab	NM_079395
FBgn0000414	Dab	NM_001275038
FBgn0000414	Dab	NM_001275040
FBgn0000414	Dab	NM_001259871
FBgn0037670	Ibf1	NM_141618
FBgn0037670	Ibf1	NM_001300316
FBgn0262243	mir-964	NA
FBgn0038469	CG4009	NM_142331
FBgn0038469	CG4009	NM_001275726
FBgn0037923	CG6813	NM_001170119
FBgn0037923	CG6813	NM_169413
FBgn0037923	CG6813	NM_001300361
FBgn0032733	CG15170	NM_136083
FBgn0032733	CG15170	NM_001299151
FBgn0267411	CG45764	NM_001316652
FBgn0053640	CG33640	NM_001032084
FBgn0065081	snmRNA:838	NA
FBgn0037418	Osi11	NM_141373
FBgn0264912	lncRNA:CR44103	NA
FBgn0037708	CG9386	NM_141647
FBgn0038589	CG18598	NM_142441
FBgn0264699	CG43968	NM_001275309
FBgn0267512	5.8SrRNA:CR45852	NA
FBgn0036814	CG14073	NM_001275093
FBgn0036814	CG14073	NM_140803
FBgn0283728	CG31600	NM_001299199
FBgn0283728	CG31600	NM_165401
FBgn0052104	CG32104	NM_140316
FBgn0262369	mir-31b	NA
FBgn0262116	RNASEK	NM_001273770
FBgn0262116	RNASEK	NM_001042968
FBgn0033571	Rpb5	NM_001273949
FBgn0033571	Rpb5	NM_136786
FBgn0032193	CG5727	NM_135511
FBgn0067052	Rab9D	NM_167237
FBgn0040078	pont	NM_144351
FBgn0266446	CG45076	NM_141758
FBgn0266446	CG45076	NM_001300346
FBgn0266446	CG45076	NM_001300345
FBgn0266446	CG45076	NM_001300347
FBgn0259916	CG42445	NM_001169907
FBgn0259916	CG42445	NM_001274632
FBgn0038165	Task6	NM_001275611
FBgn0038165	Task6	NM_001275612
FBgn0038165	Task6	NM_142043
FBgn0038165	Task6	NM_001275610
FBgn0039890	ABCD	NM_143649
FBgn0039890	ABCD	NM_166740
FBgn0039890	ABCD	NM_166736
FBgn0039890	ABCD	NM_001258480
FBgn0039890	ABCD	NM_166737
FBgn0039890	ABCD	NM_166738
FBgn0261836	Msp300	NM_001273159
FBgn0261836	Msp300	NM_001201764
FBgn0261836	Msp300	NM_001273160
FBgn0261836	Msp300	NM_001201767
FBgn0261836	Msp300	NM_001201768
FBgn0261836	Msp300	NM_001273161
FBgn0261836	Msp300	NM_001273162
FBgn0261836	Msp300	NM_001201765
FBgn0261836	Msp300	NM_001201763
FBgn0261836	Msp300	NM_001201766
FBgn0261836	Msp300	NM_001169414
FBgn0263320	CG43401	NM_001258908
FBgn0263320	CG43401	NM_001298633
FBgn0035929	CG13311	NM_140001
FBgn0040793	CG7630	NM_144156
FBgn0069913	CG4681	NM_138093
FBgn0262900	CG43255	NM_001258656
FBgn0003942	RpS27A	NM_057430
FBgn0037668	CG16736	NM_141616
FBgn0266717	Bruce	NM_141738
FBgn0266717	Bruce	NM_001275532
FBgn0266717	Bruce	NM_001275533
FBgn0266717	Bruce	NM_001275534
FBgn0266717	Bruce	NM_001275531
FBgn0267880	CR46168	NA
FBgn0039026	CG7029	NM_001275922
FBgn0039026	CG7029	NM_001275923
FBgn0039026	CG7029	NM_001104410
FBgn0039026	CG7029	NM_001104411
FBgn0039026	CG7029	NM_001275924
FBgn0039026	CG7029	NM_176542
FBgn0039332	alrm	NM_143136
FBgn0061435	CG30270	NM_001369994
FBgn0061435	CG30270	NM_166553
FBgn0061435	CG30270	NM_001369993
FBgn0029645	CG14422	NM_130687
FBgn0061492	loj	NM_139770
FBgn0061492	loj	NM_168155
FBgn0061492	loj	NM_168154
FBgn0262592	CG43127	NM_001169939
FBgn0262592	CG43127	NM_001104105
FBgn0031023	CG14200	NM_001258819
FBgn0031023	CG14200	NM_001258820
FBgn0031023	CG14200	NM_133159
FBgn0039635	Pdhb	NM_170388
FBgn0039635	Pdhb	NM_170386
FBgn0039635	Pdhb	NM_170387
FBgn0039635	Pdhb	NM_143411
FBgn0053643	CG33643	NM_001032087
FBgn0029861	CG3815	NM_132083
FBgn0037786	Alp13	NM_141721
FBgn0260855	Sec22	NM_130507
FBgn0260855	Sec22	NM_001272174
FBgn0043825	CG18284	NM_135584
FBgn0043825	CG18284	NM_001298878
FBgn0278600	CG46270	NM_001316575
