study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy	sample_title
PRJEB12982	SAMEA3892005	ERS1079139	ERX1513029	ERR1442652	7955	Danio rerio	Illumina HiSeq 2500	16564916	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442652/ERR1442652_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442652/ERR1442652_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442652/ERR1442652_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442652/ERR1442652_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#2.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#2.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#2.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#2.cram.crai	ZMP_phenotype_115_C
PRJEB12982	SAMEA3892006	ERS1079140	ERX1513030	ERR1442653	7955	Danio rerio	Illumina HiSeq 2500	16564928	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442653/ERR1442653_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442653/ERR1442653_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442653/ERR1442653_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442653/ERR1442653_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#3.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#3.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#3.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#3.cram.crai	ZMP_phenotype_115_D
PRJEB12982	SAMEA3892007	ERS1079141	ERX1513031	ERR1442654	7955	Danio rerio	Illumina HiSeq 2500	16564940	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442654/ERR1442654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442654/ERR1442654_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442654/ERR1442654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442654/ERR1442654_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#4.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#4.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#4.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#4.cram.crai	ZMP_phenotype_115_E
PRJEB12982	SAMEA3892008	ERS1079142	ERX1513032	ERR1442655	7955	Danio rerio	Illumina HiSeq 2500	16564952	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442655/ERR1442655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442655/ERR1442655_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442655/ERR1442655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442655/ERR1442655_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#5.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#5.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#5.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#5.cram.crai	ZMP_phenotype_115_F
PRJEB12982	SAMEA3892009	ERS1079143	ERX1513033	ERR1442656	7955	Danio rerio	Illumina HiSeq 2500	16564964	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442656/ERR1442656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442656/ERR1442656_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442656/ERR1442656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442656/ERR1442656_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#6.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#6.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#6.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#6.cram.crai	ZMP_phenotype_116_A
PRJEB12982	SAMEA3892010	ERS1079144	ERX1513034	ERR1442657	7955	Danio rerio	Illumina HiSeq 2500	16564976	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442657/ERR1442657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442657/ERR1442657_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442657/ERR1442657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442657/ERR1442657_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#7.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#7.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#7.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#7.cram.crai	ZMP_phenotype_116_B
PRJEB12982	SAMEA3892011	ERS1079145	ERX1513035	ERR1442658	7955	Danio rerio	Illumina HiSeq 2500	16564988	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442658/ERR1442658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442658/ERR1442658_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442658/ERR1442658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442658/ERR1442658_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#8.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#8.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#8.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#8.cram.crai	ZMP_phenotype_116_C
PRJEB12982	SAMEA3892012	ERS1079146	ERX1513036	ERR1442659	7955	Danio rerio	Illumina HiSeq 2500	16564905	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442659/ERR1442659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442659/ERR1442659_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442659/ERR1442659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442659/ERR1442659_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#9.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#9.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#9.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#9.cram.crai	ZMP_phenotype_116_D
PRJEB12982	SAMEA3892013	ERS1079147	ERX1513037	ERR1442660	7955	Danio rerio	Illumina HiSeq 2500	16564917	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442660/ERR1442660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442660/ERR1442660_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442660/ERR1442660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442660/ERR1442660_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#10.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#10.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#10.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#10.cram.crai	ZMP_phenotype_116_F
PRJEB12982	SAMEA3892014	ERS1079148	ERX1513038	ERR1442661	7955	Danio rerio	Illumina HiSeq 2500	16564929	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442661/ERR1442661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442661/ERR1442661_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442661/ERR1442661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442661/ERR1442661_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#11.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#11.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#11.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#11.cram.crai	ZMP_phenotype_117_A
PRJEB12982	SAMEA3892015	ERS1079149	ERX1513039	ERR1442662	7955	Danio rerio	Illumina HiSeq 2500	16564941	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442662/ERR1442662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442662/ERR1442662_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442662/ERR1442662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442662/ERR1442662_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#12.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#12.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#12.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#12.cram.crai	ZMP_phenotype_117_C
PRJEB12982	SAMEA3892016	ERS1079150	ERX1513040	ERR1442663	7955	Danio rerio	Illumina HiSeq 2500	16564953	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442663/ERR1442663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442663/ERR1442663_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442663/ERR1442663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442663/ERR1442663_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#13.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#13.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#13.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#13.cram.crai	ZMP_phenotype_117_D
PRJEB12982	SAMEA3892017	ERS1079151	ERX1513041	ERR1442664	7955	Danio rerio	Illumina HiSeq 2500	16564965	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442664/ERR1442664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442664/ERR1442664_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442664/ERR1442664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442664/ERR1442664_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#14.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#14.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#14.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#14.cram.crai	ZMP_phenotype_117_E
PRJEB12982	SAMEA3892018	ERS1079152	ERX1513042	ERR1442665	7955	Danio rerio	Illumina HiSeq 2500	16564977	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442665/ERR1442665_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442665/ERR1442665_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442665/ERR1442665_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442665/ERR1442665_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#15.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#15.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#15.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#15.cram.crai	ZMP_phenotype_117_F
PRJEB12982	SAMEA3892019	ERS1079153	ERX1513043	ERR1442666	7955	Danio rerio	Illumina HiSeq 2500	16564989	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442666/ERR1442666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442666/ERR1442666_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442666/ERR1442666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442666/ERR1442666_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#16.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#16.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#16.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#16.cram.crai	ZMP_phenotype_118_B
PRJEB12982	SAMEA3892020	ERS1079154	ERX1513044	ERR1442667	7955	Danio rerio	Illumina HiSeq 2500	16564906	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442667/ERR1442667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442667/ERR1442667_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442667/ERR1442667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442667/ERR1442667_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#17.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#17.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#17.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#17.cram.crai	ZMP_phenotype_118_C
PRJEB12982	SAMEA3892021	ERS1079155	ERX1513045	ERR1442668	7955	Danio rerio	Illumina HiSeq 2500	16564918	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442668/ERR1442668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442668/ERR1442668_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442668/ERR1442668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442668/ERR1442668_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#18.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#18.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#18.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#18.cram.crai	ZMP_phenotype_118_D
PRJEB12982	SAMEA3892023	ERS1079157	ERX1513046	ERR1442669	7955	Danio rerio	Illumina HiSeq 2500	16564930	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442669/ERR1442669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442669/ERR1442669_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442669/ERR1442669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442669/ERR1442669_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#19.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#19.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#19.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#19.cram.crai	ZMP_phenotype_118_E
PRJEB12982	SAMEA3892024	ERS1079158	ERX1513047	ERR1442670	7955	Danio rerio	Illumina HiSeq 2500	16564942	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442670/ERR1442670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442670/ERR1442670_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442670/ERR1442670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442670/ERR1442670_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#20.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#20.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#20.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#20.cram.crai	ZMP_phenotype_118_F
PRJEB12982	SAMEA3892025	ERS1079159	ERX1513048	ERR1442671	7955	Danio rerio	Illumina HiSeq 2500	16564954	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442671/ERR1442671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442671/ERR1442671_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442671/ERR1442671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442671/ERR1442671_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#21.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#21.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#21.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#21.cram.crai	ZMP_phenotype_119_A
PRJEB12982	SAMEA3892026	ERS1079160	ERX1513049	ERR1442672	7955	Danio rerio	Illumina HiSeq 2500	16564966	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442672/ERR1442672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442672/ERR1442672_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442672/ERR1442672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442672/ERR1442672_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#22.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#22.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#22.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#22.cram.crai	ZMP_phenotype_119_B
PRJEB12982	SAMEA3892028	ERS1079162	ERX1513050	ERR1442673	7955	Danio rerio	Illumina HiSeq 2500	16564978	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442673/ERR1442673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442673/ERR1442673_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442673/ERR1442673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442673/ERR1442673_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#23.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#23.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#23.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#23.cram.crai	ZMP_phenotype_119_C
PRJEB12982	SAMEA3892029	ERS1079163	ERX1513051	ERR1442674	7955	Danio rerio	Illumina HiSeq 2500	16564990	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442674/ERR1442674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442674/ERR1442674_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442674/ERR1442674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442674/ERR1442674_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#24.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#24.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#24.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#24.cram.crai	ZMP_phenotype_119_D
PRJEB12982	SAMEA3892030	ERS1079164	ERX1513052	ERR1442675	7955	Danio rerio	Illumina HiSeq 2500	16564907	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442675/ERR1442675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442675/ERR1442675_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442675/ERR1442675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442675/ERR1442675_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#25.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#25.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#25.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#25.cram.crai	ZMP_phenotype_119_E
PRJEB12982	SAMEA3892031	ERS1079165	ERX1513053	ERR1442676	7955	Danio rerio	Illumina HiSeq 2500	16564919	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442676/ERR1442676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442676/ERR1442676_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442676/ERR1442676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442676/ERR1442676_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#26.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#26.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#26.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#26.cram.crai	ZMP_phenotype_120_A
PRJEB12982	SAMEA3892032	ERS1079166	ERX1513054	ERR1442677	7955	Danio rerio	Illumina HiSeq 2500	16564931	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442677/ERR1442677_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442677/ERR1442677_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442677/ERR1442677_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442677/ERR1442677_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#27.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#27.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#27.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#27.cram.crai	ZMP_phenotype_120_B
PRJEB12982	SAMEA3892034	ERS1079168	ERX1513055	ERR1442678	7955	Danio rerio	Illumina HiSeq 2500	16564943	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442678/ERR1442678_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442678/ERR1442678_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442678/ERR1442678_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442678/ERR1442678_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#28.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#28.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#28.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#28.cram.crai	ZMP_phenotype_120_C
PRJEB12982	SAMEA3892035	ERS1079169	ERX1513056	ERR1442679	7955	Danio rerio	Illumina HiSeq 2500	16564955	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442679/ERR1442679_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442679/ERR1442679_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442679/ERR1442679_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442679/ERR1442679_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#29.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#29.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#29.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_2#29.cram.crai	ZMP_phenotype_120_D
